Beijing_Time,latitude,longitude,Pixel_No,Pixel_Hot_Spot_NO,Reliability,Pixel_Size(km),Burned_Size(hm),FRP(mw),Intensity,Land_Type,Administrstive_area
2021-01-01 08:00:00,61.39,112.81,1,1,2,13.85,0.47,39.4,1,4,-9999
2021-01-01 08:00:00,61.39,112.85,2,1,2,13.86,0.11,20.31,1,4,-9999
2021-01-01 08:00:00,61.33,112.79,3,1,2,13.81,0.09,14.42,1,4,-9999
2021-01-01 08:00:00,61.34,112.84,4,1,2,13.81,0.18,26.63,1,4,-9999
2021-01-01 08:00:00,60.46,96.24,5,2,2,13.21,0.09,15.56,1,4,-9999
2021-01-01 08:00:00,60.46,96.28,6,2,2,13.21,0.07,12.34,1,4,-9999
2021-01-01 08:00:00,60.41,96.26,7,2,2,13.17,0.08,13.75,1,4,-9999
2021-01-01 08:00:00,60.46,96.48,8,3,2,13.19,0.09,15.82,1,4,-9999
2021-01-01 08:00:00,60.46,96.52,9,3,2,13.18,0.12,21.7,1,4,-9999
2021-01-01 08:00:00,60.4,96.5,10,3,2,13.15,0.07,12.49,1,4,-9999
2021-01-01 08:00:00,60.4,96.54,11,3,2,13.15,0.09,16.48,1,4,-9999
2021-01-01 08:00:00,61.15,70.11,12,4,2,21.95,0.18,31.7,1,4,-9999
2021-01-01 08:00:00,61.09,70.2,13,4,4,21.8,0.18,32.31,1,4,-9999
2021-01-01 08:00:00,56.56,123.74,14,5,4,12.17,0.04,7.28,1,4,-9999
2021-01-01 08:00:00,56.51,123.68,15,5,3,12.13,0.06,11.08,1,4,-9999
2021-01-01 08:00:00,56.51,123.64,16,5,3,12.12,0.04,7.5,1,4,-9999
2021-01-01 08:00:00,56.46,123.61,17,5,3,12.09,0.05,9.84,1,4,-9999
2021-01-01 08:00:00,56.46,123.65,18,5,3,12.1,0.07,12.6,1,4,-9999
2021-01-01 08:00:00,56.51,123.72,19,5,3,12.13,0.05,8.35,1,4,-9999
2021-01-01 08:00:00,56.42,123.59,20,5,3,12.06,0.06,10.93,1,4,-9999
2021-01-01 08:00:00,56.42,123.63,21,5,3,12.07,0.07,13.45,1,4,-9999
2021-01-01 08:00:00,56.42,123.66,22,5,3,12.08,0.09,13.77,1,4,-9999
2021-01-01 08:00:00,56.37,123.6,23,5,3,12.04,0.01,12.99,1,4,-9999
2021-01-01 08:00:00,56.37,123.56,24,5,3,12.03,0.06,11.36,1,4,-9999
2021-01-01 08:00:00,56.32,123.53,25,5,3,12.0,0.06,11.1,1,4,-9999
2021-01-01 08:00:00,56.33,123.57,26,5,3,12.01,0.06,11.27,1,4,-9999
2021-01-01 08:00:00,56.37,123.64,27,5,3,12.05,0.07,12.64,1,4,-9999
2021-01-01 08:00:00,56.33,123.61,28,5,3,12.02,0.04,12.01,1,4,-9999
2021-01-01 08:00:00,56.28,123.55,29,5,3,11.98,0.06,10.38,1,4,-9999
2021-01-01 08:00:00,56.28,123.51,30,5,3,11.97,0.06,10.53,1,4,-9999
2021-01-01 08:00:00,56.23,123.48,31,5,3,11.94,0.04,7.73,1,4,-9999
2021-01-01 08:00:00,56.23,123.52,32,5,3,11.95,0.04,7.97,1,4,-9999
2021-01-01 08:00:00,56.28,123.59,33,5,3,11.99,0.06,11.01,1,4,-9999
2021-01-01 08:00:00,56.24,123.56,34,5,3,11.96,0.05,9.17,1,4,-9999
2021-01-01 08:00:00,56.19,123.5,35,5,3,11.92,0.05,8.42,1,4,-9999
2021-01-01 08:00:00,56.19,123.46,36,5,3,11.92,0.03,5.4,1,4,-9999
2021-01-01 08:00:00,56.19,123.54,37,5,3,11.93,0.04,6.92,1,4,-9999
2021-01-01 08:00:00,56.48,123.85,38,6,3,12.14,0.04,7.09,1,4,-9999
2021-01-01 08:00:00,56.43,123.78,39,6,3,12.1,0.06,11.54,1,4,-9999
2021-01-01 08:00:00,56.42,123.74,40,6,3,12.09,0.07,12.4,1,4,-9999
2021-01-01 08:00:00,56.38,123.72,41,6,3,12.06,0.07,12.76,1,4,-9999
2021-01-01 08:00:00,56.38,123.75,42,6,3,12.07,0.07,13.28,1,4,-9999
2021-01-01 08:00:00,56.43,123.82,43,6,3,12.11,0.05,9.44,1,4,-9999
2021-01-01 08:00:00,56.43,123.86,44,6,3,12.11,0.05,9.59,1,4,-9999
2021-01-01 08:00:00,56.43,123.9,45,6,3,12.12,0.04,6.73,1,4,-9999
2021-01-01 08:00:00,56.44,123.94,46,6,3,12.13,0.04,7.37,1,4,-9999
2021-01-01 08:00:00,56.44,123.98,47,6,3,12.14,0.06,10.48,1,4,-9999
2021-01-01 08:00:00,56.39,123.91,48,6,3,12.1,0.05,9.26,1,4,-9999
2021-01-01 08:00:00,56.39,123.87,49,6,3,12.09,0.06,9.88,1,4,-9999
2021-01-01 08:00:00,56.39,123.83,50,6,3,12.09,0.05,9.72,1,4,-9999
2021-01-01 08:00:00,56.38,123.79,51,6,3,12.08,0.07,11.71,1,4,-9999
2021-01-01 08:00:00,56.34,123.77,52,6,3,12.05,0.06,11.01,1,4,-9999
